// Text file for project papaya, language pl generated by export_txt @ 2014-07-18 11:57:02
// Fallback Language: en

button font size	22
country name ae	United Arab Emirates 
country name ar	Argentina
country name at	Austria
country name au	Australia
country name be	Belgium
country name br	Brazil
country name ca	Canada
country name ch	Switzerland
country name cl	Chile
country name co	Colombia
country name cz	Czech Republic 
country name de	Germany
country name dk	Denmark
country name eg	Egypt
country name es	Spain
country name fi	Finland
country name fr	France
country name gb	Great Britain
country name gr	Graceland
country name hr	Croatia
country name hu	Hungary
country name ie	Ireland
country name in	India
country name it	Italy
country name jp	Japan
country name kr	South Korea
country name lu	Luxembourg
country name ma	Morocco
country name mx	Mexico
country name nl	Netherlands
country name no	Norway
country name pe	Peru
country name pl	by Gilu
country name pt	Portugal
country name ro	Romania
country name ru	Russia
country name sa	Saudi Arabia
country name se	Sweden
country name sk	Slovakia
country name tr	Turkey
country name ua	Ukraine
country name us	USA
country name ve	Venezuela
country name za	South Africa
font embedded	<$cfg:font embedded>
font name	<$cfg:font name>
